place,water_tap_id,lat,lon
Alleevahe tee 10,1337,59.4137822,26.5313951
Allika Puhkemaja,1740,,
Allika tee 11b,1095,58.2376091,22.579699
"Allika tn 1, Põltsamaa linn",277,58.9259186,24.8638549
Allikavesi kraanist,1067,,
Alliku elurajooni Kotka veetöötlusjaam,2450,,
"Alliku, Taevasilma tänav",1092,59.3588562,24.5976219
Alppilux OÜ,300,,
Altja Kõrtsi köök,1820,,
Altküla veevärgi kraan,2422,,
Altmetsa paak,781,,
Altmõisa Külalistemaja köök,1521,58.8152884,23.55422093151669
Altserva 6,747,59.32419015,27.429806686530313
Alu pumpla väljavool,302,,
Alu tn piirkond,978,11.1489062,79.0686377
Alujoa Puhkekeskuse köök,1675,,
Aluoja Puhkekeskus,1675,,
Alvari 35,306,59.4458351,24.842608425620337
Amanda puhvet,1068,,
Ambla Põhikool,1376,,
Amps Seevaldi Kohvik,306,,
Amserv Sõpruse,306,,
Andrekse tee 104-5,348,59.4846785,24.844192
Anija küla pumbamaja peale filtreid,1293,59.3790592,25.288354234232244
"Anija mnt 77, veemõõdusõlm",1293,59.3743635,25.1944061
Anna Haava nim Pala Kool,436,58.3777174,26.7051304
Anna elamu,685,,
Anna elamu 4,685,,
Anna vtj,685,,
Anne Veepuhastusjaam - väljavool I,276,,
Anne Veepuhastusjaam - väljavool II,276,,
Annikaevu pumplast väljuv vesi,1724,,
Annikoru Lasteaed,355,,
Annikvere tootmistsehh,933,,
Annimatsi kämpingu köök,207,,
Ansiv Grupp OÜ söökla,402,,
Antsla linna Veski tn Veetöötlusjaam,506,,
"Antsla tee 8, Tagula küla",231,57.8552728,26.380341
Anuleeritud,178,,
Apandiku küla veevärk,667,59.2976885,27.24648174662205
Ararat-Grill,871,51.2312886,7.0708935
Aravete Hooldekeskus,641,,
Aravete KETE elamu Aasa tn,641,59.129601,25.739900076923078
Aravete STK,1053,,
Aravete aleviku elamu,641,,
Aravete lasteaed,641,59.1442849,25.755180432948386
Aravu küla elamu,1328,58.23055405,27.38304180117689
Aravu küla korterelamu,1328,58.23055405,27.38304180117689
Aravuse tee,1368,59.2221849,26.5488629
Arctik Sport Club,276,45.4569747,6.9008129
Ardu kool,1306,59.10176815,25.357307468306008
